scenario,num_days,total_episodes,att_reward_mean,def_reward_mean,win_rate,stab_episode_att,stab_episode_def,entropy_att_mean,entropy_def_mean,entropy_gap,q_att_max,q_att_min,q_def_max,q_def_min,best_att_strat,best_def_strat,topk_att_cov_final,topk_def_cov_final,att_def_reward_ratio,month,run_id,seed
R0,31,30000,1.0642046331470183,8.411792850699124,0.6602666666666667,,,0.8542007475606757,0.8735992178994428,-0.0193984703387671,1.121331346411958,0.1137421983571044,9.065476732678745,4.332769143339507,A3,D2,0.1741616841321067,0.8258383158678932,0.1265134142073612,january,1,11097
R0,31,30000,1.0784581393287878,8.387048110021832,0.654,,,0.8593870073307479,0.9152802771114864,-0.0558932697807385,1.109617896094366,0.3126327795885679,8.75783496543993,5.122045148963702,A3,D2,0.1741616841321067,0.8258383158678932,0.1285861396264222,january,2,11098
R0,31,30000,1.0755754474967525,8.37021051651455,0.6683333333333333,,,0.8453472633742634,0.8851921048285271,-0.0398448414542637,1.683365987489999,0.2082883489863888,8.840465947309209,3.294445704602904,A3,D2,1.0,0.0,0.1285004057394525,january,3,11099
R0,31,30000,1.0620587711749867,8.394379778732615,0.6675333333333333,,,0.8415003556615358,0.8779725822751165,-0.0364722266135807,0.8272050881309534,0.2207048940682063,9.265985495625824,4.9858837767735205,A3,D2,0.1741616841321067,0.8258383158678932,0.1265202193812747,january,4,11100
R0,31,30000,1.104778017312816,8.353659475523957,0.6608333333333334,,,0.8205495831261761,0.8745108572461565,-0.0539612741199804,1.345474632364322,0.1887303006802491,8.926210791403262,3.233694012279749,A3,D6,0.1741616841321067,0.8258383158678932,0.1322507842879868,january,5,11101
R0,31,30000,1.104098236960527,8.359828866441571,0.6752333333333334,,,0.8062620722966436,0.8742725910948221,-0.0680105187981785,1.5292592231462618,0.3204362183529432,9.521428425839142,4.161353967142119,A2,D2,0.0,1.0,0.1320718706805891,january,6,11102
R0,31,30000,1.085145080563431,8.373652790872123,0.6724666666666667,,,0.8397861902961383,0.8740875363723017,-0.0343013460761634,0.7699375144133821,0.2515960955617949,9.339150843213542,4.119555102900328,A3,D2,0.1741616841321067,0.8258383158678932,0.129590407873887,january,7,11103
R0,31,30000,1.0497994576379364,8.416972499646253,0.6666333333333333,,,0.8588140130329154,0.8776707310733266,-0.0188567180404112,1.813775609971384,0.3308084676238405,8.848947344726177,3.7628006745018574,A3,D6,0.1741616841321067,0.8258383158678932,0.1247241163829461,january,8,11104
R0,31,30000,1.0638856358431072,8.404181432472544,0.6617666666666666,,,0.8523295441994003,0.8740937907840399,-0.0217642465846396,1.6969239580501636,0.3961820065532038,8.924494671201458,4.41922882184178,A3,D2,0.1741616841321067,0.8258383158678932,0.1265900366848824,january,9,11105
R0,31,30000,1.1212897258993713,8.339611265862267,0.66,,,0.8444136683737552,0.8818644066728493,-0.037450738299094,2.0178758498825977,0.2275492248668949,9.07624447707987,3.9442520336788354,A3,D2,0.0,1.0,0.1344534763256062,january,10,11106
R1,31,30000,0.6395116092909472,8.862574180225316,0.5625,,,1.2218692940844726,0.7262675477012243,0.4956017463832484,0.1858170208134437,0.1249756090211972,9.835566993652762,3.317295638291628,A4,D5,0.0,1.0,0.0721586749274112,january,1,53393
R1,31,30000,0.651598586841202,8.855436985409685,0.5743333333333334,,,1.1824077330946556,0.7156124070466833,0.4667953260479723,0.5779112611020985,0.1117290111824484,9.81380150393887,5.192541347466275,A2,D5,0.0,1.0,0.0735817541149898,january,2,53394
R1,31,30000,0.5865826817339194,8.926697406998853,0.5556666666666666,,,1.2252839953676162,0.7159597625972544,0.5093242327703619,0.3369180549912076,0.1110476519889667,9.668436284363322,5.937955049161308,A3,D5,0.1741616841321067,0.8258383158678932,0.065711052474347,january,3,53395
R1,31,30000,0.6422424454821448,8.872630465715181,0.5596333333333333,,,1.184227918866951,0.7813115995959243,0.4029163192710263,0.8364909869467939,0.1078200404037157,9.6960620937017,4.301058503074479,A3,D5,0.0,1.0,0.0723846719373516,january,4,53396
R1,31,30000,0.6520244590724041,8.86352102972562,0.5496,,,1.1603174404092331,0.7172724740396391,0.443044966369594,0.1570480985284444,0.0929206017518488,9.824642030484826,6.747136639416807,A4,D5,0.0,1.0,0.0735626910440791,january,5,53397
R1,31,30000,0.627897907613423,8.87480712673214,0.5649666666666666,,,1.189056770464131,0.7177835791876882,0.4712731912764428,0.1629724991272018,0.1367389222842092,9.950799935952167,4.650058307166663,A4,D5,0.0,1.0,0.0707505975788598,january,6,53398
R1,31,30000,0.6638380712567512,8.838440048640752,0.5639666666666666,,,1.1579389258648956,0.7535298647742424,0.4044090610906531,0.2346827866308016,0.1534768638842173,9.825095050389596,6.70899966752548,A3,D5,0.0,1.0,0.0751080583907837,january,7,53399
R1,31,30000,0.6469421068982525,8.8599275064703,0.5725666666666667,,,1.1453403561069786,0.6892584362360034,0.4560819198709752,1.038366931475632,0.1091066178413749,9.78953246222035,4.64093562094681,A3,D5,0.0,1.0,0.0730188939385563,january,8,53400
R1,31,30000,0.5798722607608275,8.924133065927231,0.5514666666666667,,,1.237750209016807,0.7469693336244806,0.4907808753923265,1.1124233922302618,0.1853861173494598,8.89766493592905,4.227961100694492,A3,D2,0.1741616841321067,0.8258383158678932,0.0649779935459285,january,9,53401
R1,31,30000,0.6440467429196457,8.862047231613978,0.558,,,1.1852643884687857,0.733973338727355,0.4512910497414304,0.4506007663465282,0.1219301172732766,9.59077895945028,5.9154173823937946,A3,D5,0.0,1.0,0.0726747134253707,january,10,53402
R2,31,30000,1.315304889692842,8.049944163394233,0.6831,,,0.9854522204550404,0.9937573412717357,-0.0083051208166953,1.0439919597835228,0.6248617395481256,8.990307750486785,3.2462782835104123,A3,D6,0.1741616841321067,0.8258383158678932,0.1633930450938988,january,1,20817
R2,31,30000,1.326253718982606,8.034932701133068,0.6706,,,1.0164711114817306,1.001317766234691,0.0151533452470395,1.0816022327953967,0.4202706719567138,8.977891099329232,3.851516547550805,A3,D6,0.1741616841321067,0.8258383158678932,0.1650609617172749,january,2,20818
R2,31,30000,1.319210587469222,8.046016408989507,0.6765,,,1.0314593127062317,1.001794349293461,0.0296649634127708,1.1964237444314063,0.595622959453264,8.632511633836943,2.7697038496565254,A3,D6,0.1741616841321067,0.8258383158678932,0.1639582273279132,january,3,20819
R2,31,30000,1.341481819091286,8.012122646999732,0.6869,,,1.0136668194359084,0.97289226530936,0.0407745541265484,2.128267773865023,0.9088027073816992,8.695856353271001,4.810635334470675,A2,D6,0.1741616841321067,0.8258383158678932,0.1674315132449483,january,4,20820
R2,31,30000,1.3218592623822114,8.051850656220894,0.6835,,,0.951207901115362,0.9522044544645956,-0.0009965533492334,1.5983129228383717,0.618712633012143,8.84866083039262,3.8623137602966753,A2,D6,0.1741616841321067,0.8258383158678932,0.1641683780313209,january,5,20821
R2,31,30000,1.3373908083609274,8.028774482010848,0.6825,,,0.9729988945737458,0.9451351664750572,0.0278637280986885,2.0315594068148184,0.2852731510894712,8.815070449353314,4.487303732805457,A2,D6,0.1741616841321067,0.8258383158678932,0.1665747134083122,january,6,20822
R2,31,30000,1.3112313347208575,8.063095608301927,0.6778333333333333,,,0.9787082425299384,0.9745286892926762,0.0041795532372622,1.0199063665941048,0.7221614339544625,8.812053989814837,3.24012622178323,A3,D2,0.0557244491983543,0.9442755508016456,0.1626213303697884,january,7,20823
R2,31,30000,1.2965571499755442,8.091292969127904,0.6788333333333333,,,0.9825899703590948,0.9710937897259204,0.0114961806331743,2.5411989024830564,0.5478245700718777,8.615537136151799,4.331118464070701,A5,D6,0.8258383158678932,0.1741616841321067,0.1602410337782256,january,8,20824
R2,31,30000,1.301050776600854,8.071705568537377,0.6766,,,0.9884157789849928,0.9595740988582334,0.0288416801267592,1.2461004348137823,0.8150285752675327,8.709289422869343,3.547123804751428,A2,D6,0.1741616841321067,0.8258383158678932,0.1611865999761199,january,9,20825
R2,31,30000,1.2917968112506453,8.092754053305772,0.6714,,,1.0084230609114933,0.9630151516406532,0.0454079092708399,0.6847911122566201,0.6341845498112612,9.341329482671696,6.520137980839467,A1,D6,0.0,1.0,0.1596238811585983,january,10,20826
R3,31,30000,0.619706149339742,8.892795038850332,0.5391,,,1.2251926892797051,0.7135932663729742,0.511599422906731,0.1576472445245529,0.1039864531616443,9.82839924543807,4.316368485686258,A4,D5,0.0,1.0,0.0696863187144655,january,1,31881
R3,31,30000,0.5752650221519201,8.933786821778563,0.5329,,,1.2597462702332751,0.7002844687882175,0.5594618014450579,0.1872204531704243,0.1519206754417524,9.89068900005665,4.918455801716887,A2,D5,0.0,1.0,0.0643920695252715,january,2,31882
R3,31,30000,0.6222151456570145,8.886328078308685,0.5393666666666667,,,1.2392613694858556,0.6888762638854602,0.5503851056003954,0.1816485815131255,0.1454881585247986,9.85574345339435,4.412050477526535,A1,D5,0.0,1.0,0.0700193758517454,january,3,31883
R3,31,30000,0.6263453204403069,8.86897805666586,0.535,,,1.2058498455685818,0.6976356671920199,0.5082141783765619,0.5877774554903394,0.18395130634937,9.430972949186003,5.353429394451667,A3,D5,0.1741616841321067,0.8258383158678932,0.0706220397027085,january,4,31884
R3,31,30000,0.6588208076568185,8.832270831447744,0.5552,,,1.1839911829420149,0.7389805617652212,0.4450106211767937,0.4934860547272813,0.1486348064597021,9.419335213399288,4.886094155757651,A3,D5,0.0557244491983543,0.9442755508016456,0.0745924598814445,january,5,31885
R3,31,30000,0.6686880358569408,8.842665356457548,0.5422,,,1.1982206631929548,0.7323545954997592,0.4658660676931956,0.4807297040488105,0.081461263223948,9.694067930229254,5.241735101633452,A5,D5,0.0,1.0,0.0756206425213883,january,6,31886
R3,31,30000,0.6422579892876009,8.872170658531296,0.5488333333333333,,,1.2085980941307686,0.7256343056177029,0.4829637885130656,0.2914854404902912,0.0801038182126844,9.816842104715391,3.9739688689377255,A4,D5,0.0,1.0,0.0723901753028182,january,7,31887
R3,31,30000,0.6351736567024994,8.895087010014265,0.5407,,,1.1580212344544316,0.7297943625785885,0.4282268718758431,0.3527675274540905,0.1429455811378301,9.823451880051689,6.201221559751592,A3,D5,0.0,1.0,0.0714072449192917,january,8,31888
R3,31,30000,0.6133065910442143,8.906749321542605,0.5326666666666666,,,1.2385357183039178,0.7091823699383047,0.5293533483656131,0.1681788273269905,0.1190189500509549,9.751670419068342,4.806072936580621,A1,D5,0.0,1.0,0.0688586339306552,january,9,31889
R3,31,30000,0.6000278157006036,8.914870722886114,0.5386,,,1.2385469855661468,0.7122152111986115,0.5263317743675353,0.911135543360566,0.0875868244334089,9.738999583755406,7.0071459689765305,A3,D5,0.0,1.0,0.0673063956115731,january,10,31890
R0,31,31000,1.3524182888270662,8.369171815156474,0.6666129032258065,,,0.9789970723629466,1.0174042356721642,-0.0384071633092175,1.3284498958630446,0.6787415197788034,8.029792355052805,6.599393510880871,A1,D3,0.5056733583592375,0.4943266416407625,0.1615952353108407,may,1,29793
R0,31,31000,1.2782648539248054,8.454680585370253,0.6685161290322581,,,0.9667323312090064,0.9899921308510168,-0.0232597996420104,1.134343428505126,0.6770410128495211,9.119473299321978,7.136829309322481,A3,D6,0.5056733583592375,0.4943266416407625,0.151190200625282,may,2,29794
R0,31,31000,1.2806313779987777,8.418644770000114,0.6657741935483871,,,1.0341097691229506,1.0468998884627907,-0.01279011933984,1.6465136978532524,0.426966847307667,8.39378574551777,7.014066409345707,A3,D6,0.5056733583592375,0.4943266416407625,0.1521184719139491,may,3,29795
R0,31,31000,1.325909997083636,8.391255758224835,0.6484193548387097,,,1.0079543727979392,1.083619937614928,-0.0756655648169888,1.3970047618538155,0.7875625546042188,9.14060266786451,6.740403366431755,A3,D2,0.2294306629054702,0.7705693370945298,0.158010914610012,may,4,29796
R0,31,31000,1.2655090245138878,8.44180693603209,0.6478387096774193,,,1.0256725420583643,1.0174023571605637,0.0082701848978008,1.53873376017818,0.5689023662578547,8.216993137565579,6.782516801106278,A3,D2,0.2294306629054702,0.7705693370945298,0.1499097330824194,may,5,29797
R0,31,31000,1.3129761895814516,8.381383461530568,0.6610322580645162,,,1.0287110983252628,1.0429397410018284,-0.0142286426765656,1.456031667922678,0.4624555227324304,9.079367592160605,7.171165616426133,A3,D2,0.2294306629054702,0.7705693370945298,0.156653874101792,may,6,29798
R0,31,31000,1.329027728855929,8.378005409356811,0.6665806451612903,,,0.9703763356529213,1.0389203822363198,-0.0685440465833985,1.4461950574204303,0.4792754854645373,8.954837245657997,6.435854554380921,A3,D2,0.2294306629054702,0.7705693370945298,0.158632951868428,may,7,29799
R0,31,31000,1.293273670923432,8.402604340251715,0.6651612903225806,,,0.9930267339968404,1.025918377779628,-0.0328916437827876,3.0002631674852167,0.8936453306225467,8.318135371854826,6.975869120014609,A5,D3,0.4943266416407625,0.5056733583592375,0.1539134319020773,may,8,29800
R0,31,31000,1.293706534868981,8.428595447348041,0.6535483870967742,,,1.0197190032287269,1.0002761154009636,0.019442887827763,1.0786815528954004,0.5212481732828615,8.954413738359786,6.903316106814056,A3,D6,0.5056733583592375,0.4943266416407625,0.153490168433227,may,9,29801
R0,31,31000,1.272620790744427,8.427674482859532,0.6604193548387097,,,0.9504314447900551,1.009735899677645,-0.0593044548875901,0.9116581965008236,0.4312191122340315,9.08965910523651,6.7449250208324365,A1,D6,0.0,1.0,0.151004976916553,may,10,29802
R1,31,31000,0.7545435494059785,9.021928266655491,0.5882903225806452,,,1.3599967156956934,0.7130804345125528,0.6469162811831406,0.8472189784600221,0.41849941425701,9.574841703065305,7.123588916947041,A5,D5,0.0,1.0,0.0836343991111885,may,1,46177
R1,31,31000,0.7547219812879089,9.027449134177347,0.5827096774193549,,,1.431710435764187,0.7011256265950044,0.7305848091691826,1.4009011496630124,0.230833004147439,9.040970994344338,7.051580884878307,A3,D2,0.2294306629054702,0.7705693370945298,0.0836030167625735,may,2,46178
R1,31,31000,0.7275778247940913,9.050776695520836,0.5846451612903226,,,1.4111769430844212,0.709809948350355,0.7013669947340662,0.7260556525892875,0.4363643628648171,9.376368220246484,7.4984059906229215,A3,D5,0.0,1.0,0.0803884406024694,may,3,46179
R1,31,31000,0.7509850978261561,9.041159918297987,0.5768709677419355,,,1.3988994399590762,0.7488994281455641,0.6500000118135121,0.690615876024236,0.4685658483832255,8.684013129489182,7.624072259298494,A1,D3,0.0,1.0,0.0830629150034468,may,4,46180
R1,31,31000,0.744143945822389,9.053040499042426,0.5806774193548387,,,1.4026031740553713,0.7218586854897511,0.6807444885656202,1.1353857852870306,0.4993596999922056,9.15376937293107,6.733976261732566,A3,D5,1.0,0.0,0.0821982344938255,may,5,46181
R1,31,31000,0.716207928132442,9.051578749761386,0.5741290322580646,,,1.409655690500348,0.7609099049231179,0.64874578557723,0.8309933753165721,0.4888539370254909,9.480649758738638,6.308070770001245,A5,D5,0.0,1.0,0.0791251943923398,may,6,46182
R1,31,31000,0.7223952929427649,9.06858668571896,0.582,,,1.3895200356197803,0.7279967983842305,0.6615232372355501,0.8841597572962465,0.4487976305036056,8.612784818255356,7.259018967938196,A2,D2,0.0,1.0,0.0796590822779893,may,7,46183
R1,31,31000,0.7446298152362713,9.048087860782932,0.5832258064516129,,,1.393669419815592,0.692674982930353,0.7009944368852391,0.842401490462896,0.1641696788856138,9.53198324473933,7.332667034699096,A5,D5,0.0,1.0,0.0822969257917703,may,8,46184
R1,31,31000,0.7362083045537691,9.056593461791945,0.5808709677419355,,,1.3382393066130238,0.7177908149339496,0.6204484916790742,0.9341561097899032,0.3553815455980754,9.149877355006655,7.888767831617422,A5,D5,0.4943266416407625,0.5056733583592375,0.081289759517162,may,9,46185
